city,companyName,eduLevel,jobName,recruieCount,salary,workingExp
北京,中青才智教育投资(北京)有限公司,大专,java初级开发工程师,招22人,6千-1.2万,经验不限
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,BI Developer-数据挖掘背景,招1人,面议,1-3年
北京,埃森哲(中国)有限公司,大专,[ATCC]Big Data Architect咨询顾问,招1人,面议,10年以上
北京,北京鉴衡认证中心有限公司,本科,光伏研发工程师,招1人,8千-1.5万,经验不限
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,BI Developer-英语口语好,招1人,面议,1-3年
北京,北京捷通华声科技股份有限公司,本科,web前端高级开发工程师,招1人,1.5万-2.5万,3-5年
北京,网舟联合科技（北京）有限公司,本科,java开发工程师,招2人,1万-1.5万,3-5年
北京,慧泽商通(北京)科技有限公司,本科,架构师,招1人,2.5万-4万,5-10年
北京,北京捷通华声科技股份有限公司,本科,高级C++开发工程师(灵云 SDK),招5人,1.5万-3万,3-5年
北京,北京财经专修学院,本科,大数据工程师/讲师/培训师,招2人,2万-3万,5-10年
北京,中体彩科技发展有限公司,本科,架构师（应用运维）,招2人,3万-3.5万,5-10年
北京,北京新致君阳信息技术有限公司,本科,高级软件工程师-NS2,招2人,1.5万-2.5万,5-10年
北京,北京教书匠教育咨询有限公司,本科,WEB前端开发工程师（高薪有前途）,招5人,1万-2万,3-5年
北京,北京梆梆安全科技有限公司,本科,前端高级开发工程师（北京）,招1人,2万-3万,5-10年
北京,广州海浦投资有限公司,本科,量化系统工程师,招10人,1.5万-3万,1-3年
北京,中通天鸿（北京）通信科技股份有限公司,本科,高级Devops开发工程师,招1人,1.5万-2万,1-3年
北京,北京清果金融信息服务有限公司,本科,运维经理,招1人,2万-3万,5-10年
北京,中电科技(北京)有限公司,本科,自动化测试工程师,招2人,1万-1.5万,3-5年
北京,中通天鸿（北京）通信科技股份有限公司,本科,devops开发工程师,招1人,1万-1.5万,3-5年
北京,博彦科技(深圳)有限公司,大专,移动测试,招2人,1.5万-2万,5-10年
北京,北京法伯宏业科技发展有限公司,本科,统计分析师,招1人,1万-1.5万,3-5年
北京,北京朗迪锋科技有限公司,本科,三维软件开发工程师,招1人,2.5万-3.5万,经验不限
北京,北京语知科技有限公司,本科,自然语言算法工程师,招3人,1.5万-2万,1-3年
北京,藤门国际教育咨询(北京)有限公司,大专,乐高机器人教师,招1人,8千-1万,1-3年
北京,南京高泰科技有限公司,本科,一线运维工程师（中级）,招1人,1.2万-1.5万,3-5年
北京,北京跃科人才服务有限公司,本科,后端开发工程师,招1人,2万-3万,3-5年
北京,启迪公交(北京)科技股份有限公司,本科,系统运维经理,招1人,2万-3万,3-5年
北京,南京高泰科技有限公司,本科,故障处理运维工程师（中级/高级）,招1人,1.2万-2.2万,3-5年
北京,天九共享控股集团,本科,大数据研发总监,招1人,2万-3万,5-10年
北京,南京高泰科技有限公司,本科,运维工程师（中级/高级）,招1人,1.2万-2.2万,3-5年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,Retail System Engineer ,招1人,面议,1-3年
北京,北京七天德汇教育科技有限公司,本科,golang工程师,招2人,1.5万-3万,3-5年
北京,北京新联财通咨询有限公司,本科,大数据开发工程师,招1人,1万-1.5万,3-5年
北京,北京翼辉信息技术有限公司,本科,自动化测试开发工程师,招1人,8千-1.2万,经验不限
北京,北京首金中小微企业金融服务有限公司,本科,资金端测试工程师,招1人,1.5万-2万,3-5年
北京,北京运车网网络科技有限公司,本科,测试工程师,招3人,8千-1.5万,3-5年
北京,飞越东方国际教育咨询(北京)有限公司,本科,海外 软件工程师 （美国）,招5人,2万-3万,经验不限
北京,北京蜂鸟视图科技有限公司,学历不限,前端开发工程师（React栈）,招2人,1.5万-2.5万,5-10年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,Wintel 系统运维工程师,招1人,面议,3-5年
北京,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",本科,运维开发工程师-自动化运维方向,招1人,面议,3-5年
北京,博彦科技(深圳)有限公司,大专,Devops开发工程师,招1人,1.5万-2万,5-10年
北京,北京王视界文化传媒有限公司,中专,特效师,招2人,6千-8千,1-3年
北京,韦博网讯科技(北京)有限公司,本科,PHP高级工程师PHP Senior Engineer,招1人,1.5万-2万,5-10年
北京,未来电视有限公司,本科,大数据工程师,招2人,2万-2.5万,5-10年
北京,三一智矿科技有限公司,本科,测试工程师,招2人,2万-3万,3-5年
北京,启迪公交(北京)科技股份有限公司,本科,高级 Web 开发工程师,招1人,2万-2.5万,3-5年
北京,北京通付盾数据科技有限公司,本科,建模工程师,招1人,1.5万-3万,3-5年
北京,北京银信长远科技股份有限公司,本科,oracle运维工程师（驻金宝街）,招1人,1.5万-2万,5-10年
北京,北京中科金财科技股份有限公司,本科,zabbix运维工程师,招1人,1万-1.5万,3-5年
北京,北京通付盾数据科技有限公司,本科,数据仓库,招1人,1.5万-2万,3-5年
北京,苏州美生元信息科技有限公司北京分公司,大专,游戏运维工程师,招1人,1万-1.5万,3-5年
北京,北京北航天华时代科技有限公司,本科,高级测试工程师,招2人,8千-1.5万,3-5年
北京,北京上格云技术有限公司,本科,算法工程师实习生,招1人,4千-6千,无经验
北京,北京米文动力科技有限公司,本科,机器人工程师,招1人,1万-2万,3-5年
北京,北京米文动力科技有限公司,本科,Linux算法工程师,招1人,1.5万-3万,1-3年
北京,北京意锐新创科技有限公司,本科,嵌入式软件工程师,招3人,2.5万-3.5万,5-10年
北京,天津紫龙奇点互动娱乐有限公司北京办事处,大专,高级系统工程师,招1人,1.5万-2.5万,3-5年
北京,智慧互通科技有限公司,本科,高级数据仓库工程师,招1人,2万-3.5万,3-5年
北京,普天信息技术有限公司,本科,初级数据工程师（Java方向）,招1人,6千-8千,1-3年
北京,山西易联支付数据处理有限公司,本科,中高级测试工程师,招10人,1.6万-2.2万,3-5年
北京,北京上格云技术有限公司,本科,算法工程师,招1人,1.5万-2万,1-3年
北京,北京金信润天信息技术股份有限公司,本科,安全运维工程师,招3人,8千-1.5万,5-10年
北京,同方鼎欣科技股份有限公司,本科,linux运维,招5人,1万-1.4万,3-5年
北京,广东道一信息技术股份有限公司,大专,运维工程师-北京-事业三部,招1人,1.2万-1.8万,3-5年
北京,天创信用服务有限公司,本科,数据挖掘工程师（数据产品开发及建模方向）,招3人,1.5万-3万,1-3年
北京,天创信用服务有限公司,硕士,风控建模专家,招3人,1.5万-2万,1-3年
北京,天创信用服务有限公司,本科,数据分析师,招2人,1.5万-2万,1-3年
北京,北京银信长远科技股份有限公司,本科,初级实施工程师,招2人,4千-6千,1年以下
北京,北京银信长远科技股份有限公司,本科,web前端工程师,招1人,1.3万-1.8万,3-5年
北京,北京高因科技有限公司,本科,架构师（PHP）,招1人,2.5万-3.5万,5-10年
北京,北京浩然五洲软件技术有限公司,大专,测试开发工程师,招2人,1万-1.5万,3-5年
北京,巨掌互动科技(北京)有限公司,大专,dba工程师（中高级）,招1人,1万-2万,3-5年
北京,北京云舒写教育科技有限公司,本科,java开发工程师,招3人,1万-1.5万,1-3年
北京,北京远光瑞为软件技术有限公司,本科,C#开发工程师,招5人,8千-1万,1-3年
北京,中城泰信(苏州)科技发展股份有限公司,大专,.net开发工程师,招2人,8千-1.5万,1-3年
北京,北京华源格林科技有限公司,大专,Java高级开发工程师,招5人,1万-1.5万,3-5年
北京,中国恩菲工程技术有限公司,本科,WEB后端工程师,招2人,1万-1.2万,3-5年
北京,北京格蒂智能科技有限公司,本科,前端研发工程师,招1人,3万-4万,5-10年
北京,江信基金管理有限公司,本科,it运维,招3人,8千-1万,1-3年
北京,中电华瑞技术有限公司,本科,软件测试工程师,招1人,5千-1万,3-5年
北京,通号(北京)招标有限公司,本科,服务器运维工程师,招1人,8千-1万,1-3年
北京,中视士德数据科技(北京)有限公司,本科,高级运维工程师,招2人,1.5万-2万,1-3年
北京,开网科技(北京)有限公司,学历不限,中间件研发工程师（急招）,招3人,1.5万-2万,3-5年
北京,北京成众志科技有限公司,本科,产品架构师,招1人,2万-4万,5-10年
北京,北京释码大华科技有限公司,硕士,算法工程师,招2人,1.5万-3万,经验不限
